,Class_ID, Name, Sample_Num, Flag, Gender,race,emotion,age
31,n000032," ""Abhay_Deol""",519,1, m,undefined,undefined,undefined
32,n000033," ""Abhinav_Bindra""",357,1, m,undefined,undefined,undefined
33,n000034," ""Abou_Diaby""",306,1, m,undefined,undefined,undefined
34,n000035," ""Abu_Qatada""",237,1, m,undefined,undefined,undefined
35,n000036," ""Aburizal_Bakrie""",374,1, m,undefined,undefined,undefined
36,n000037," ""Aby_Rosen""",206,1, m,undefined,undefined,undefined
37,n000038," ""Aca_Lukas""",419,1, m,undefined,undefined,undefined
38,n000039," ""Acha_Septriasa""",376,1, f,undefined,undefined,undefined
39,n000040," ""Aco_Petrović""",180,0, m,white,fear,40.833333333333336
40,n000041," ""Acun_Ilıcalı""",391,1, m,undefined,undefined,undefined
41,n000042," ""Ada_Yonath""",265,1, m,undefined,undefined,undefined
42,n000043," ""Adah_Sharma""",493,1, f,undefined,undefined,undefined
43,n000044," ""Adal_Ramones""",364,1, m,undefined,undefined,undefined
44,n000045," ""Adam_Alsing""",246,1, m,undefined,undefined,undefined
45,n000046," ""Adam_Ashley-Cooper""",411,1, m,undefined,undefined,undefined
46,n000047," ""Adam_Bandt""",330,1, m,undefined,undefined,undefined
47,n000048," ""Adam_Boniecki""",216,1, m,undefined,undefined,undefined
48,n000049," ""Adam_Darski""",440,1, m,undefined,undefined,undefined
49,n000050," ""Adam_Duritz""",400,1, m,undefined,undefined,undefined
50,n000051," ""Adam_Gilchrist""",327,1, m,undefined,undefined,undefined
51,n000052," ""Adam_Housley""",212,1, m,undefined,undefined,undefined
52,n000053," ""Adam_Irigoyen""",381,1, m,undefined,undefined,undefined
53,n000054," ""Adam_Johnson""",438,1, m,undefined,undefined,undefined
54,n000055," ""Adam_Lallana""",450,1, m,undefined,undefined,undefined
55,n000056," ""Adam_Liaw""",304,1, m,undefined,undefined,undefined
56,n000057," ""Adam_Michnik""",365,1, m,undefined,undefined,undefined
57,n000058," ""Adam_Nawałka""",444,1, m,undefined,undefined,undefined
58,n000059," ""Adam_Pascal""",346,1, m,undefined,undefined,undefined
59,n000060," ""Adam_Richman""",495,1, m,undefined,undefined,undefined
60,n000061," ""Adam_Rodríguez""",376,1, m,undefined,undefined,undefined
61,n000062," ""Adam_Schiff""",321,1, m,undefined,undefined,undefined
62,n000063," ""Adam_Senn""",437,1, m,undefined,undefined,undefined
63,n000064," ""Adam_Silver""",378,1, m,undefined,undefined,undefined
64,n000065," ""Adam_Sztaba""",394,1, m,undefined,undefined,undefined
65,n000066," ""Adam_Yauch""",339,1, m,undefined,undefined,undefined
66,n000067," ""Adamari_López""",511,1, f,undefined,undefined,undefined
67,n000068," ""Addison_Timlin""",304,1, f,undefined,undefined,undefined
68,n000069," ""Additi_Gupta""",398,1, f,undefined,undefined,undefined
69,n000070," ""Adel_Taarabt""",422,1, m,undefined,undefined,undefined
70,n000071," ""Adele_Silva""",320,1, f,undefined,undefined,undefined
71,n000072," ""Adelina_Ismajli""",306,1, f,undefined,undefined,undefined
72,n000073," ""Adelinde_Cornelissen""",320,1, f,undefined,undefined,undefined
73,n000074," ""Aden_Young""",259,1, m,undefined,undefined,undefined
74,n000075," ""Aderbal_Freire_Filho""",192,1, m,undefined,undefined,undefined
75,n000076," ""Adewale_Akinnuoye-Agbaje""",304,1, f,undefined,undefined,undefined
76,n000077," ""Adhyaksa_Dault""",319,1, m,undefined,undefined,undefined
77,n000078," ""Adhyayan_Suman""",458,0, m,white,neutral,28.0
78,n000079," ""Adil_Rami""",448,1, m,undefined,undefined,undefined
79,n000080," ""Aditi_Rao_Hydari""",594,1, m,undefined,undefined,undefined
80,n000081," ""Aditya_Roy_Kapur""",536,1, m,undefined,undefined,undefined
81,n000082," ""Aditya_Seal""",441,0, m,middle eastern,happy,27.5
82,n000083," ""Aditya_Srivastava""",498,1, m,undefined,undefined,undefined
83,n000084," ""Aditya_Thackeray""",448,1, m,undefined,undefined,undefined
84,n000085," ""Admir_Mehmedi""",454,1, m,undefined,undefined,undefined
85,n000086," ""Adnan_Sami""",438,1, m,undefined,undefined,undefined
86,n000087," ""Adrian_Newey""",434,1, m,undefined,undefined,undefined
87,n000088," ""Adrian_Pasdar""",386,1, m,undefined,undefined,undefined
88,n000089," ""Adrian_Sutil""",303,1, m,undefined,undefined,undefined
89,n000090," ""Adriana_Ugarte""",469,1, f,undefined,undefined,undefined
90,n000091," ""Adriana_Vasini""",206,1, f,undefined,undefined,undefined
91,n000092," ""Adrianna_Costa""",250,1, f,undefined,undefined,undefined
92,n000093," ""Adrianne_León""",176,1, f,undefined,undefined,undefined
93,n000094," ""Adriano_Leite_Ribeiro""",432,1, m,undefined,undefined,undefined
94,n000095," ""Adriean_Videanu""",216,1, m,undefined,undefined,undefined
95,n000096," ""Adrien_Broner""",425,1, m,undefined,undefined,undefined
96,n000097," ""Adrienne_Bailon""",603,1, f,undefined,undefined,undefined
97,n000098," ""Adrienne_Frantz""",482,1, f,undefined,undefined,undefined
98,n000099," ""Adrienne_Janic""",346,1, f,undefined,undefined,undefined
99,n000100," ""Adrienne_Maloof""",485,1, f,undefined,undefined,undefined
100,n000101," ""Adán_Chávez""",285,1, m,undefined,undefined,undefined
101,n000102," ""Adílson_Batista""",375,1, m,undefined,undefined,undefined
102,n000103," ""Aftab_Shivdasani""",572,1, m,undefined,undefined,undefined
103,n000104," ""Agata_Buzek""",445,1, f,undefined,undefined,undefined
104,n000105," ""Agata_Kulesza""",515,1, f,undefined,undefined,undefined
105,n000106," ""Agata_Passent""",279,0, f,white,happy,33.666666666666664
106,n000107," ""Agnes_Zawadzki""",226,1, f,undefined,undefined,undefined
107,n000108," ""Agneta_Sjödin""",401,1, f,undefined,undefined,undefined
108,n000109," ""Agnieszka_Grochowska""",478,1, f,undefined,undefined,undefined
109,n000110," ""Agnieszka_Maciag""",359,1, f,undefined,undefined,undefined
110,n000111," ""Agnieszka_Radwańska""",511,1, f,undefined,undefined,undefined
111,n000112," ""Agnieszka_Wagner""",283,1, f,undefined,undefined,undefined
112,n000113," ""Agnieszka_Włodarczyk""",217,1, f,undefined,undefined,undefined
113,n000114," ""Agnès_Jaoui""",336,1, f,undefined,undefined,undefined
114,n000115," ""Agot_Isidro""",301,1, f,undefined,undefined,undefined
115,n000116," ""Agung_Laksono""",440,1, m,undefined,undefined,undefined
116,n000117," ""Agus_Martowardojo""",371,1, m,undefined,undefined,undefined
117,n000118," ""Agustina_Cherri""",392,1, f,undefined,undefined,undefined
118,n000119," ""Agustina_Cordova""",207,1, f,undefined,undefined,undefined
119,n000120," ""Agustín_Carstens""",417,1, m,undefined,undefined,undefined
120,n000121," ""Agustín_Creevy""",349,1, m,undefined,undefined,undefined
121,n000122," ""Agustín_Orión""",365,1, m,undefined,undefined,undefined
122,n000123," ""Agustín_Pichot""",316,1, m,undefined,undefined,undefined
123,n000124," ""Ahlam""",310,1, f,undefined,undefined,undefined
124,n000125," ""Ahmad_Haidar""",186,1, m,undefined,undefined,undefined
125,n000126," ""Ahmad_Zahid_Hamidi""",429,1, m,undefined,undefined,undefined
126,n000127," ""Ahmed_Elmohamady""",271,1, m,undefined,undefined,undefined
127,n000128," ""Ahmed_Shehzad""",207,1, m,undefined,undefined,undefined
128,n000129," ""Ahmet_Davutoğlu""",585,0, m,white,happy,35.25
129,n000130," ""Ahmet_Türk""",372,1, m,undefined,undefined,undefined
130,n000131," ""Ahmet_Çakar""",358,1, m,undefined,undefined,undefined
131,n000132," ""Ahn_Jae-wook""",334,1, m,undefined,undefined,undefined
132,n000133," ""Ahu_Tuğba""",285,1, f,undefined,undefined,undefined
133,n000134," ""Ai_Fukuhara""",404,1, f,undefined,undefined,undefined
134,n000135," ""Ai_Kato""",158,1, f,undefined,undefined,undefined
135,n000136," ""Ai_Miyazato""",266,1, f,undefined,undefined,undefined
136,n000137," ""Ai_Sugiyama""",226,1, f,undefined,undefined,undefined
137,n000138," ""Ai_Takahashi""",304,1, f,undefined,undefined,undefined
138,n000139," ""Ai_Tominaga""",432,1, f,undefined,undefined,undefined
139,n000140," ""Ai-Ai_de_las_Alas""",446,1, f,undefined,undefined,undefined
140,n000141," ""Aiden_McGeady""",367,1, m,undefined,undefined,undefined
141,n000142," ""Aidan_Turner""",437,1, m,undefined,undefined,undefined
142,n000143," ""Aika_Oota""",258,1, f,undefined,undefined,undefined
143,n000144," ""Aimee_Mullins""",314,1, f,undefined,undefined,undefined
144,n000145," ""Aimee_Teegarden""",405,1, f,undefined,undefined,undefined
145,n000146," ""Aindrita_Ray""",312,1, f,undefined,undefined,undefined
146,n000148," ""Airi_Suzuki""",367,0, f,asian,happy,30.0
147,n000149," ""Aishwarya_Rai_Bachchan""",522,0, f,white,happy,33.111111111111114
148,n000150," ""Aitana_Sánchez-Gijón""",446,1, f,undefined,undefined,undefined
149,n000151," ""Aitor_Karanka""",433,1, m,undefined,undefined,undefined
150,n000152," ""Aitor_Ocio""",392,1, m,undefined,undefined,undefined
151,n000154," ""Ajay_Devgan""",487,1, m,undefined,undefined,undefined
152,n000155," ""Ajay_Rochester""",291,1, f,undefined,undefined,undefined
153,n000156," ""Ajda_Pekkan""",358,1, f,undefined,undefined,undefined
154,n000157," ""Ajit_Pawar""",408,1, m,undefined,undefined,undefined
155,n000158," ""Akbar_Tandjung""",373,1, m,undefined,undefined,undefined
156,n000159," ""Akhilesh_Yadav""",494,1, m,undefined,undefined,undefined
157,n000160," ""Aki_Hoshino""",385,1, f,undefined,undefined,undefined
158,n000161," ""Akio_Toyoda""",379,1, m,undefined,undefined,undefined
159,n000162," ""Akkaphan_Namart""",292,1, m,undefined,undefined,undefined
160,n000163," ""Akkineni_Nagarjuna""",542,1, m,undefined,undefined,undefined
161,n000164," ""Aksel_Lund_Svindal""",375,1, m,undefined,undefined,undefined
162,n000165," ""Akshay_Oberoi""",289,1, m,undefined,undefined,undefined
163,n000166," ""Al_Bano_Carrisi""",400,1, m,undefined,undefined,undefined
164,n000167," ""Al_Franken""",417,1, m,undefined,undefined,undefined
165,n000168," ""Al_Golden""",289,1, m,undefined,undefined,undefined
166,n000169," ""Al_Jarreau""",328,1, m,undefined,undefined,undefined
167,n000170," ""Al_Murray""",384,1, m,undefined,undefined,undefined
168,n000171," ""Al_Roker""",459,1, m,undefined,undefined,undefined
169,n000172," ""Al_Sharpton""",484,1, m,undefined,undefined,undefined
170,n000173," ""Al-Farouq_Aminu""",286,1, m,undefined,undefined,undefined
171,n000174," ""Alain_Barrière""",280,1, m,undefined,undefined,undefined
172,n000175," ""Alain_Finkielkraut""",351,1, m,undefined,undefined,undefined
173,n000176," ""Alain_Juppé""",560,1, m,undefined,undefined,undefined
174,n000177," ""Alain_Minc""",266,1, m,undefined,undefined,undefined
175,n000178," ""Alain_Traoré""",208,0, m,black,neutral,27.333333333333332
176,n000179," ""Alain_Vigneault""",388,1, m,undefined,undefined,undefined
177,n000180," ""Alaina_Huffman""",330,1, f,undefined,undefined,undefined
178,n000181," ""Alan_Carr""",399,1, m,undefined,undefined,undefined
179,n000182," ""Alan_Dzagoev""",280,1, m,undefined,undefined,undefined
180,n000183," ""Alan_Hutton""",314,1, m,undefined,undefined,undefined
181,n000184," ""Alan_Mulally""",416,1, m,undefined,undefined,undefined
182,n000185," ""Alan_Pardew""",554,1, m,undefined,undefined,undefined
183,n000186," ""Alan_Shearer""",500,1, m,undefined,undefined,undefined
184,n000187," ""Alan_Sugar""",376,1, m,undefined,undefined,undefined
185,n000188," ""Alana_Curry""",494,1, f,undefined,undefined,undefined
186,n000189," ""Alana_Nichols""",175,1, f,undefined,undefined,undefined
187,n000190," ""Alana_de_la_Garza""",346,1, f,undefined,undefined,undefined
188,n000191," ""Alassane_Ouattara""",385,1, m,undefined,undefined,undefined
189,n000192," ""Alastair_Cook""",518,1, m,undefined,undefined,undefined
190,n000193," ""Albert_Boadella""",271,1, m,undefined,undefined,undefined
191,n000194," ""Albert_Cartier""",193,1, m,undefined,undefined,undefined
192,n000195," ""Albert_Pujols""",300,1, m,undefined,undefined,undefined
193,n000196," ""Albert_Ramos""",188,1, m,undefined,undefined,undefined
194,n000197," ""Albert_Sosnowski""",323,1, m,undefined,undefined,undefined
195,n000198," ""Alberto_Del_Rio""",240,1, m,undefined,undefined,undefined
196,n000199," ""Alberto_Fujimori""",413,1, m,undefined,undefined,undefined
197,n000201," ""Alberto_Malesani""",277,1, m,undefined,undefined,undefined
198,n000202," ""Alberto_Núñez_Feijóo""",648,1, m,undefined,undefined,undefined
199,n000203," ""Alberto_Ruiz-Gallardón""",526,1, m,undefined,undefined,undefined
200,n000204," ""Alberto_San_Juan""",378,1, m,undefined,undefined,undefined
201,n000205," ""Albie_Casiño""",418,1, m,undefined,undefined,undefined
202,n000206," ""Aldo_Rebelo""",368,1, m,undefined,undefined,undefined
203,n000207," ""Aldo_de_Nigris""",386,1, m,undefined,undefined,undefined
204,n000208," ""Alec_Burks""",276,1, m,undefined,undefined,undefined
205,n000209," ""Alecsandro""",363,1, m,undefined,undefined,undefined
206,n000210," ""Alejandra_Barros""",279,1, f,undefined,undefined,undefined
207,n000211," ""Alejandro_Chabán""",333,1, m,undefined,undefined,undefined
208,n000212," ""Alejandro_Escovedo""",312,1, m,undefined,undefined,undefined
209,n000213," ""Alejandro_Falla""",271,1, m,undefined,undefined,undefined
210,n000214," ""Alejandro_Fernández""",486,1, m,undefined,undefined,undefined
211,n000215," ""Alejandro_González_Iñárritu""",440,1, m,undefined,undefined,undefined
212,n000216," ""Alejandro_Sabella""",371,1, m,undefined,undefined,undefined
213,n000217," ""Alejandro_Sanz""",439,1, m,undefined,undefined,undefined
214,n000218," ""Alejandro_Tous""",336,1, m,undefined,undefined,undefined
215,n000219," ""Alejo_Sauras""",365,1, m,undefined,undefined,undefined
216,n000220," ""Alek_Wek""",476,1, m,undefined,undefined,undefined
217,n000221," ""Aleks_Syntek""",371,1, m,undefined,undefined,undefined
218,n000222," ""Aleksandar_Mitrović""",411,1, m,undefined,undefined,undefined
219,n000223," ""Aleksandar_Vučić""",506,1, m,undefined,undefined,undefined
220,n000224," ""Aleksandar_Šapić""",296,1, m,undefined,undefined,undefined
221,n000225," ""Aleksander_Kwaśniewski""",623,1, m,undefined,undefined,undefined
222,n000226," ""Aleksandr_Kokorin""",247,1, m,undefined,undefined,undefined
223,n000227," ""Aleksandra_Kisio""",564,1, f,undefined,undefined,undefined
224,n000228," ""Aleksandra_Kwasniewska""",596,1, f,undefined,undefined,undefined
225,n000229," ""Aleksandra_Nieśpielak""",271,1, f,undefined,undefined,undefined
226,n000230," ""Aleksandra_Radović""",272,1, f,undefined,undefined,undefined
227,n000231," ""Alela_Diane""",260,1, f,undefined,undefined,undefined
228,n000232," ""Alena_Zavarzina""",246,1, f,undefined,undefined,undefined
229,n000233," ""Alesana_Tuilagi""",311,1, m,undefined,undefined,undefined
230,n000234," ""Alesha_Dixon""",639,1, f,undefined,undefined,undefined
231,n000235," ""Alesia_Raut""",414,1, f,undefined,undefined,undefined
232,n000236," ""Alessandra_Amoroso""",481,1, f,undefined,undefined,undefined
233,n000237," ""Alessandra_Facchinetti""",230,1, f,undefined,undefined,undefined
234,n000238," ""Alessandra_Mastronardi""",474,1, f,undefined,undefined,undefined
235,n000239," ""Alessandra_Mussolini""",330,1, f,undefined,undefined,undefined
236,n000240," ""Alessandra_Negrini""",396,1, f,undefined,undefined,undefined
237,n000241," ""Alessandro_Del_Piero""",548,1, m,undefined,undefined,undefined
238,n000242," ""Alessandro_Nesta""",437,1, m,undefined,undefined,undefined
239,n000243," ""Alessandro_Nivola""",436,1, m,undefined,undefined,undefined
240,n000244," ""Alessandro_Profumo""",334,1, m,undefined,undefined,undefined
241,n000245," ""Alessandro_Safina""",299,1, m,undefined,undefined,undefined
242,n000246," ""Alessandro_Sartori""",228,1, m,undefined,undefined,undefined
243,n000247," ""Alessia_Filippi""",213,1, f,undefined,undefined,undefined
244,n000248," ""Alessia_Marcuzzi""",518,1, f,undefined,undefined,undefined
245,n000249," ""Alessio_Boni""",392,1, m,undefined,undefined,undefined
246,n000250," ""Alessio_Cerci""",415,1, m,undefined,undefined,undefined
247,n000251," ""Alex_Aniston""",308,1, f,undefined,undefined,undefined
248,n000252," ""Alex_Atala""",300,1, m,undefined,undefined,undefined
249,n000253," ""Alex_Cora""",113,1, m,undefined,undefined,undefined
250,n000254," ""Alex_Ebert""",332,1, m,undefined,undefined,undefined
251,n000255," ""Alex_Ferguson""",580,1, m,undefined,undefined,undefined
252,n000256," ""Alex_Fevola""",207,1, f,undefined,undefined,undefined
253,n000257," ""Alex_Gaskarth""",520,1, m,undefined,undefined,undefined
254,n000258," ""Alex_Gibney""",230,1, m,undefined,undefined,undefined
255,n000259," ""Alex_Gonzaga""",431,0, f,asian,happy,29.0
256,n000260," ""Alex_Lundqvist""",474,1, m,undefined,undefined,undefined
257,n000261," ""Alex_Meneses""",328,1, f,undefined,undefined,undefined
258,n000262," ""Alex_Morgan""",433,1, f,undefined,undefined,undefined
259,n000263," ""Alex_Noerdin""",308,1, m,undefined,undefined,undefined
260,n000264," ""Alex_OLoughlin""",438,1, m,undefined,undefined,undefined
261,n000265," ""Alex_Oxlade-Chamberlain""",499,1, m,undefined,undefined,undefined
262,n000266," ""Alex_Salmond""",677,1, m,undefined,undefined,undefined
263,n000267," ""Alex_Song""",352,1, m,undefined,undefined,undefined
264,n000268," ""Alex_Turner""",479,1, m,undefined,undefined,undefined
265,n000269," ""Alex_van_Warmerdam""",238,1, m,undefined,undefined,undefined
266,n000270," ""Alexa_Chung""",720,1, f,undefined,undefined,undefined
267,n000271," ""Alexa_Ray_Joel""",503,1, f,undefined,undefined,undefined
268,n000272," ""Alexa_Vega""",398,1, f,undefined,undefined,undefined
269,n000273," ""Alexander_Dale_Oen""",246,1, m,undefined,undefined,undefined
270,n000274," ""Alexander_Dobrindt""",462,1, m,undefined,undefined,undefined
271,n000275," ""Alexander_Fehling""",433,1, m,undefined,undefined,undefined
272,n000276," ""Alexander_Gerst""",318,1, m,undefined,undefined,undefined
273,n000277," ""Alexander_Klaws""",491,1, m,undefined,undefined,undefined
274,n000278," ""Alexander_Majorov""",199,1, m,undefined,undefined,undefined
275,n000279," ""Alexander_Merkel""",206,1, m,undefined,undefined,undefined
276,n000280," ""Alexander_Morozevich""",284,1, m,undefined,undefined,undefined
277,n000281," ""Alexander_Payne""",345,1, m,undefined,undefined,undefined
278,n000282," ""Alexander_Skarsgård""",588,1, m,undefined,undefined,undefined
279,n000283," ""Alexandr_Dolgopolov""",326,1, m,undefined,undefined,undefined
280,n000284," ""Alexandra_Edenborough""",344,0, f,white,neutral,34.57142857142857
281,n000285," ""Alexandra_Kamp""",388,1, f,undefined,undefined,undefined
282,n000286," ""Alexandra_Lamy""",442,1, f,undefined,undefined,undefined
283,n000287," ""Alexandra_Lara""",422,1, f,undefined,undefined,undefined
284,n000288," ""Alexandra_Neldel""",430,1, f,undefined,undefined,undefined
285,n000289," ""Alexandra_Paul""",327,1, f,undefined,undefined,undefined
286,n000290," ""Alexandra_Socha""",211,1, f,undefined,undefined,undefined
287,n000291," ""Alexandra_Wentworth""",336,1, f,undefined,undefined,undefined
288,n000292," ""Alexandre_Bilodeau""",389,1, m,undefined,undefined,undefined
289,n000293," ""Alexandre_Gallo""",222,1, m,undefined,undefined,undefined
290,n000294," ""Alexandre_Lacazette""",349,1, m,undefined,undefined,undefined
291,n000295," ""Alexandre_Pato""",398,1, m,undefined,undefined,undefined
292,n000296," ""Alexei_Kudrin""",276,1, m,undefined,undefined,undefined
293,n000297," ""Alexis_Bledel""",499,1, f,undefined,undefined,undefined
294,n000298," ""Alexis_Georgoulis""",242,1, m,undefined,undefined,undefined
295,n000299," ""Alexis_Jordan""",397,1, f,undefined,undefined,undefined
296,n000300," ""Alexis_Sánchez""",518,1, m,undefined,undefined,undefined
297,n000301," ""Alexis_Texas""",347,1, f,undefined,undefined,undefined
298,n000302," ""Alexis_Tsipras""",613,1, m,undefined,undefined,undefined
299,n000303," ""Alexis_Valdés""",174,1, m,undefined,undefined,undefined
300,n000304," ""Aleš_Brichta""",272,1, m,undefined,undefined,undefined
301,n000305," ""Alfie_Allen""",438,1, m,undefined,undefined,undefined
302,n000306," ""Alfie_Boe""",459,1, m,undefined,undefined,undefined
303,n000307," ""Alfonso_Bassave""",320,1, m,undefined,undefined,undefined
304,n000308," ""Alfonso_Guerra""",328,1, m,undefined,undefined,undefined
305,n000309," ""Alfonso_Herrera""",462,1, m,undefined,undefined,undefined
306,n000310," ""Alfonso_Portillo""",319,1, m,undefined,undefined,undefined
307,n000311," ""Alfred_Biolek""",362,1, m,undefined,undefined,undefined
308,n000312," ""Alfred_Dorfer""",266,1, m,undefined,undefined,undefined
309,n000313," ""Alfred_Schreuder""",225,1, m,undefined,undefined,undefined
310,n000314," ""Alfredo_Pérez_Rubalcaba""",617,1, m,undefined,undefined,undefined
311,n000315," ""Alfredo_Talavera""",278,1, m,undefined,undefined,undefined
312,n000316," ""Algirdas_Butkevičius""",497,1, m,undefined,undefined,undefined
313,n000317," ""Algirdas_Šemeta""",191,1, m,undefined,undefined,undefined
314,n000318," ""Ali_Akbar_Salehi""",482,1, m,undefined,undefined,undefined
315,n000319," ""Ali_Bastian""",355,1, f,undefined,undefined,undefined
316,n000320," ""Ali_Krieger""",385,1, f,undefined,undefined,undefined
317,n000321," ""Ali_Michael""",381,1, f,undefined,undefined,undefined
318,n000322," ""Ali_al-Naimi""",327,1, m,undefined,undefined,undefined
319,n000323," ""Alia_Shawkat""",360,1, f,undefined,undefined,undefined
320,n000324," ""Alice_Bah_Kuhnke""",318,1, f,undefined,undefined,undefined
321,n000325," ""Alice_Beer""",254,1, f,undefined,undefined,undefined
322,n000326," ""Alice_Dellal""",529,1, f,undefined,undefined,undefined
323,n000327," ""Alice_Kim""",253,1, f,undefined,undefined,undefined
324,n000328," ""Alice_Sara_Ott""",240,1, f,undefined,undefined,undefined
325,n000329," ""Alice_Taglioni""",434,1, f,undefined,undefined,undefined
326,n000330," ""Alicia_Sacramone""",326,1, f,undefined,undefined,undefined
327,n000331," ""Alicia_Sánchez-Camacho""",510,1, f,undefined,undefined,undefined
328,n000332," ""Alicia_Vikander""",564,1, f,undefined,undefined,undefined
329,n000333," ""Alicja_Janosz""",350,1, f,undefined,undefined,undefined
330,n000334," ""Alicja_Rosolska""",262,1, f,undefined,undefined,undefined
331,n000335," ""Alie_Layus""",235,1, f,undefined,undefined,undefined
332,n000336," ""Aline_Weber""",296,1, f,undefined,undefined,undefined
333,n000337," ""Alinne_Moraes""",350,1, f,undefined,undefined,undefined
334,n000338," ""Alisar_Ailabouni""",311,1, f,undefined,undefined,undefined
335,n000339," ""Alisher_Usmanov""",242,1, m,undefined,undefined,undefined
336,n000340," ""Alison_Angel""",268,1, f,undefined,undefined,undefined
337,n000341," ""Alison_King""",436,1, f,undefined,undefined,undefined
338,n000342," ""Alison_Riske""",206,1, f,undefined,undefined,undefined
339,n000343," ""Alissa_Czisny""",346,1, f,undefined,undefined,undefined
340,n000344," ""Alissa_White-Gluz""",366,1, f,undefined,undefined,undefined
341,n000345," ""Alistair_Overeem""",436,1, m,undefined,undefined,undefined
342,n000346," ""Alka_Yagnik""",413,1, f,undefined,undefined,undefined
343,n000347," ""Alla_Pugacheva""",424,1, f,undefined,undefined,undefined
344,n000348," ""Allan_McGregor""",338,1, m,undefined,undefined,undefined
345,n000349," ""Allan_Wu""",209,1, m,undefined,undefined,undefined
346,n000350," ""Allari_Naresh""",442,1, m,undefined,undefined,undefined
347,n000351," ""Allegra_Versace""",448,1, f,undefined,undefined,undefined
348,n000352," ""Allen_Leech""",475,1, m,undefined,undefined,undefined
349,n000353," ""Allen_West""",285,1, m,undefined,undefined,undefined
350,n000354," ""Alley_Mills""",370,1, f,undefined,undefined,undefined
351,n000355," ""Allison_Holker""",384,1, f,undefined,undefined,undefined
352,n000356," ""Allison_Iraheta""",387,1, f,undefined,undefined,undefined
353,n000357," ""Allison_Mack""",414,1, f,undefined,undefined,undefined
354,n000358," ""Ally_McCoist""",519,1, m,undefined,undefined,undefined
355,n000359," ""Allyson_Felix""",455,1, f,undefined,undefined,undefined
356,n000360," ""Alma_Muriel""",154,1, f,undefined,undefined,undefined
357,n000361," ""Almazbek_Atambayev""",386,1, m,undefined,undefined,undefined
358,n000362," ""Almir_Sater""",234,1, m,undefined,undefined,undefined
359,n000363," ""Alodia_Gosiengfiao""",505,0, f,asian,happy,28.8
360,n000364," ""Alois_Hadamczik""",269,1, m,undefined,undefined,undefined
361,n000365," ""Alona_Tal""",377,1, f,undefined,undefined,undefined
362,n000366," ""Alonzo_Bodden""",241,1, m,undefined,undefined,undefined
363,n000367," ""Altaír_Jarabo""",393,1, f,undefined,undefined,undefined
364,n000368," ""Alun_Wyn_Jones""",382,1, m,undefined,undefined,undefined
365,n000369," ""Alvin_Stardust""",342,1, m,undefined,undefined,undefined
366,n000370," ""Aly_Cissokho""",254,1, m,undefined,undefined,undefined
367,n000371," ""Alysia_Montaño""",282,1, f,undefined,undefined,undefined
368,n000372," ""Alysia_Reiner""",435,1, f,undefined,undefined,undefined
369,n000373," ""Alyson_Hannigan""",408,1, f,undefined,undefined,undefined
370,n000374," ""Alyson_Stoner""",392,1, f,undefined,undefined,undefined
